Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Lao PDR,LAO,Population growth (annual %),SP.POP.GROW,1.46599628688074
Late-demographic dividend,LTE,Population growth (annual %),SP.POP.GROW,0.602136250194206
Latin America & Caribbean,LCN,Population growth (annual %),SP.POP.GROW,1.0131960339117
Latin America & Caribbean (excluding high income),LAC,Population growth (annual %),SP.POP.GROW,1.04614375863949
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population growth (annual %),SP.POP.GROW,1.04979958157492
Latvia,LVA,Population growth (annual %),SP.POP.GROW,-0.886215573292392
Least developed countries: UN classification,LDC,Population growth (annual %),SP.POP.GROW,2.35841502742645
Lebanon,LBN,Population growth (annual %),SP.POP.GROW,1.25220998416619
Lesotho,LSO,Population growth (annual %),SP.POP.GROW,1.33051030175139
Liberia,LBR,Population growth (annual %),SP.POP.GROW,2.52712836609116
Libya,LBY,Population growth (annual %),SP.POP.GROW,1.28457467988888
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.677358783945653
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,-1.39832220092102
Low & middle income,LMY,Population growth (annual %),SP.POP.GROW,1.27783911410427
Low income,LIC,Population growth (annual %),SP.POP.GROW,2.58062880958256
Lower middle income,LMC,Population growth (annual %),SP.POP.GROW,1.41811370081388
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,2.43097641776115
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,1.68461319637167
Madagascar,MDG,Population growth (annual %),SP.POP.GROW,2.68058464646082
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.89029019490127
Malaysia,MYS,Population growth (annual %),SP.POP.GROW,1.39148356363892
Maldives,MDV,Population growth (annual %),SP.POP.GROW,1.9845898234416
Mali,MLI,Population growth (annual %),SP.POP.GROW,2.99524671336318
Malta,MLT,Population growth (annual %),SP.POP.GROW,2.73866285589301
Marshall Islands,MHL,Population growth (annual %),SP.POP.GROW,0.114885174558194
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,2.7329585316341
Mauritius,MUS,Population growth (annual %),SP.POP.GROW,0.0901868114668421
Mexico,MEX,Population growth (annual %),SP.POP.GROW,1.26439519699852
"Micronesia, Fed. Sts.",FSM,Population growth (annual %),SP.POP.GROW,0.57677574959845
Middle East & North Africa,MEA,Population growth (annual %),SP.POP.GROW,1.73742437374318
Middle East & North Africa (excluding high income),MNA,Population growth (annual %),SP.POP.GROW,1.65437831367737
Middle East & North Africa (IDA & IBRD countries),TMN,Population growth (annual %),SP.POP.GROW,1.63869142875687
Middle income,MIC,Population growth (annual %),SP.POP.GROW,1.10833839854921
Moldova,MDA,Population growth (annual %),SP.POP.GROW,-0.0776775631743313
Monaco,MCO,Population growth (annual %),SP.POP.GROW,0.507812579198862
Mongolia,MNG,Population growth (annual %),SP.POP.GROW,1.58117809169789
Montenegro,MNE,Population growth (annual %),SP.POP.GROW,0.011247907097728
Morocco,MAR,Population growth (annual %),SP.POP.GROW,1.30336309078287
Mozambique,MOZ,Population growth (annual %),SP.POP.GROW,2.86987986018184
Myanmar,MMR,Population growth (annual %),SP.POP.GROW,0.91362397180206
Namibia,NAM,Population growth (annual %),SP.POP.GROW,2.15749565244757
Nauru,NRU,Population growth (annual %),SP.POP.GROW,-1.33463890435481
Nepal,NPL,Population growth (annual %),SP.POP.GROW,1.10565316918355
Netherlands,NLD,Population growth (annual %),SP.POP.GROW,0.591203366164118
New Caledonia,NCL,Population growth (annual %),SP.POP.GROW,1.40394758578176
New Zealand,NZL,Population growth (annual %),SP.POP.GROW,2.12296238197075
Nicaragua,NIC,Population growth (annual %),SP.POP.GROW,1.09405499220103
Niger,NER,Population growth (annual %),SP.POP.GROW,3.8170926127811
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2.59870472229877
North America,NAC,Population growth (annual %),SP.POP.GROW,0.700987473091601
North Macedonia,MKD,Population growth (annual %),SP.POP.GROW,0.0938438236889566
Northern Mariana Islands,MNP,Population growth (annual %),SP.POP.GROW,0.219666594634541
Norway,NOR,Population growth (annual %),SP.POP.GROW,0.807673181884948
Not classified,INX,Population growth (annual %),SP.POP.GROW,..
OECD members,OED,Population growth (annual %),SP.POP.GROW,0.599526196138783
Oman,OMN,Population growth (annual %),SP.POP.GROW,4.669194641437
Other small states,OSS,Population growth (annual %),SP.POP.GROW,2.04962265722615
Pacific island small states,PSS,Population growth (annual %),SP.POP.GROW,1.2365653288682
Pakistan,PAK,Population growth (annual %),SP.POP.GROW,1.95408019712084
Palau,PLW,Population growth (annual %),SP.POP.GROW,1.04553135980469
Panama,PAN,Population growth (annual %),SP.POP.GROW,1.58543418106785
Papua New Guinea,PNG,Population growth (annual %),SP.POP.GROW,2.03446590573128
Paraguay,PRY,Population growth (annual %),SP.POP.GROW,1.27048335443972
Peru,PER,Population growth (annual %),SP.POP.GROW,1.2250705001708
Philippines,PHL,Population growth (annual %),SP.POP.GROW,1.53468335971281
Poland,POL,Population growth (annual %),SP.POP.GROW,0.0124800985844923
Portugal,PRT,Population growth (annual %),SP.POP.GROW,-0.243889410358812
Post-demographic dividend,PST,Population growth (annual %),SP.POP.GROW,0.392317716187591
Pre-demographic dividend,PRE,Population growth (annual %),SP.POP.GROW,2.85540810845559
Puerto Rico,PRI,Population growth (annual %),SP.POP.GROW,-2.42139285886754
Qatar,QAT,Population growth (annual %),SP.POP.GROW,2.66503774458275
Romania,ROU,Population growth (annual %),SP.POP.GROW,-0.602481291223894
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,0.106871954284237
Rwanda,RWA,Population growth (annual %),SP.POP.GROW,2.41162334022622
Samoa,WSM,Population growth (annual %),SP.POP.GROW,0.671666233544779
San Marino,SMR,Population growth (annual %),SP.POP.GROW,0.591566669677813
Sao Tome and Principe,STP,Population growth (annual %),SP.POP.GROW,2.18543864140561
Saudi Arabia,SAU,Population growth (annual %),SP.POP.GROW,2.03192507950024
Senegal,SEN,Population growth (annual %),SP.POP.GROW,2.80838915230027
Serbia,SRB,Population growth (annual %),SP.POP.GROW,-0.532191341024444
Seychelles,SYC,Population growth (annual %),SP.POP.GROW,1.22403375818123
Sierra Leone,SLE,Population growth (annual %),SP.POP.GROW,2.15373363486272
Singapore,SGP,Population growth (annual %),SP.POP.GROW,0.0885954699924263
Sint Maarten (Dutch part),SXM,Population growth (annual %),SP.POP.GROW,2.8122921985989
Slovak Republic,SVK,Population growth (annual %),SP.POP.GROW,0.155178995687406
Slovenia,SVN,Population growth (annual %),SP.POP.GROW,0.0651590392490152
Small states,SST,Population growth (annual %),SP.POP.GROW,1.72398324638527
Solomon Islands,SLB,Population growth (annual %),SP.POP.GROW,1.96973237099163
Somalia,SOM,Population growth (annual %),SP.POP.GROW,2.92188314012906
South Africa,ZAF,Population growth (annual %),SP.POP.GROW,1.24487837812685
South Asia,SAS,Population growth (annual %),SP.POP.GROW,1.24520019663068
South Asia (IDA & IBRD),TSA,Population growth (annual %),SP.POP.GROW,1.24520019663068
South Sudan,SSD,Population growth (annual %),SP.POP.GROW,2.78158564915929
Spain,ESP,Population growth (annual %),SP.POP.GROW,0.235509001837601
Sri Lanka,LKA,Population growth (annual %),SP.POP.GROW,1.13022048648777
St. Kitts and Nevis,KNA,Population growth (annual %),SP.POP.GROW,0.951298861162768
St. Lucia,LCA,Population growth (annual %),SP.POP.GROW,0.464610107213174
St. Martin (French part),MAF,Population growth (annual %),SP.POP.GROW,0.54936617861992
St. Vincent and the Grenadines,VCT,Population growth (annual %),SP.POP.GROW,0.231393015698368
Sub-Saharan Africa,SSF,Population growth (annual %),SP.POP.GROW,2.6998290709235
Sub-Saharan Africa (excluding high income),SSA,Population growth (annual %),SP.POP.GROW,2.69996362642253
Sub-Saharan Africa (IDA & IBRD countries),TSS,Population growth (annual %),SP.POP.GROW,2.6998290709235
Sudan,SDN,Population growth (annual %),SP.POP.GROW,2.38302698057069
Suriname,SUR,Population growth (annual %),SP.POP.GROW,0.89751620959064
Sweden,SWE,Population growth (annual %),SP.POP.GROW,1.34744505956262
Switzerland,CHE,Population growth (annual %),SP.POP.GROW,0.921453610076294
Syrian Arab Republic,SYR,Population growth (annual %),SP.POP.GROW,-0.875120546475725
Tajikistan,TJK,Population growth (annual %),SP.POP.GROW,2.11141618431339
Tanzania,TZA,Population growth (annual %),SP.POP.GROW,3.07923658844019
Thailand,THA,Population growth (annual %),SP.POP.GROW,0.252353584486131
Timor-Leste,TLS,Population growth (annual %),SP.POP.GROW,2.15526424183978
Togo,TGO,Population growth (annual %),SP.POP.GROW,2.48414689557551
